,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
homicidiesper100k,-0.2644093537936017,-0.10114837919076654,-0.28594005152041296,0.7765258202946975,0.12927453213656595,0.28076811708320076,-0.2402699509363676,-0.259965079568917,-0.06216238612287822,-0.11174698974488392,-0.04036757530398648,0.06566981288526297,0.02401768882352954,-0.014162846069441255,0.08276548253891935,-0.02014377902986119,0.007112420922601444
electricity,0.6991494731154745,0.5889342171622937,0.06553002890450177,0.01274321488096693,-0.17679647992298783,0.19150195353420868,-0.021814629809884786,0.10136331065273094,0.06305471941760539,-0.008148350308420373,0.013726885581202733,0.1132136295531373,0.11728677120106941,0.2446992701171103,0.05099206079383337,-0.05725086433030536,-0.027906092850925303
Schooling,0.7645815974676633,-0.10659283736899214,0.3727899738202966,0.1451060981389259,-0.019484777583293797,-0.23507956618394144,0.24958696023274302,0.03149050890755037,-0.10225392342014196,-0.1694608769070202,0.08336851351397657,0.25425980329051395,0.11390912838140121,-0.09813941784874788,0.05349292207334635,0.06982443794925056,0.010568062657136007
HIV.AIDS,-0.5172536628281847,0.45416898564091807,0.5060097796360608,0.2632885802770322,0.1615247030939956,-0.20299589961719694,-0.14970195215708718,-0.0993314892206189,0.08691601148720227,-0.11043302908669865,0.2517788691695053,-0.01544445192163388,-0.14137526154110444,0.07397576487353612,-0.08762232538486053,0.02041568842828755,0.020775649494067783
wateraccess,0.7724349845940843,-0.27105808357530026,-0.1303764422311523,0.014547071308803285,-0.2216887187903244,0.12231454888016179,-0.13918618273158898,-0.16368034441544893,0.29919023092862607,0.17324181548892137,0.2792485126883593,-0.03383491442423336,0.11492594164721767,-0.06193589941588915,-0.032529782619056445,0.02470994013827601,0.03399224738896446
tuberculosis,-0.6894814038659367,0.3384728517856349,0.34185563043579287,0.06557821112294818,-0.18459483045058636,-0.264902035855091,-0.1367903472043188,-0.16821140194093337,0.03052973190725544,0.29957401604907596,-0.1889098543048675,0.10837586635771586,0.06702555671766271,-0.04931178219822431,0.013602477345819264,-0.06345362605181204,0.0671965894945586
inflation,-0.5589207584716326,0.13380228725044158,-0.0755711637460264,0.2612888996449041,-0.3522448520318402,0.1062643709423965,0.6482500456457898,-0.1043424052004249,-0.07508634959349643,0.1011596640532583,0.13487088816263154,-0.05683475258994793,-0.06611176177431374,0.0044509937769666415,0.035744422701384525,-0.048924868817814035,0.003632975785477006
healthexppercapita,0.8631744843956981,0.17004003669815526,0.24875277053244507,0.013710109776062594,0.1978431933944733,-0.028117861401891667,-0.014557966091521893,-0.21584745678323594,-0.17997499478431073,0.06446031444153695,0.042432665937636296,-0.1009946761116457,0.06425248310929613,-0.07797214711992247,-0.06898305645181824,-0.12333250798768654,-0.12091535835588087
fertilityrate,-0.773362533901946,0.37746246941564915,-0.07580819600758723,0.06722911830291552,0.27905854426881527,-0.10978301838343293,0.04796438541477442,0.24006360727765297,0.005090109475229343,-0.08646040658293384,0.10082022515260149,-0.19137012512432433,0.2250343989455195,-0.04944679019201402,0.06278934231735911,-0.039673386295649475,0.05047050660354716
lifeexp,0.8654138322927275,-0.23576561509824415,-0.15636385620426915,-0.14081861230445453,0.29529312789904705,-0.014798618173372134,0.08024268160510194,-0.059198121127002144,-0.13944619167740138,-0.010866742256963024,0.049727099421862375,0.048321833819403186,-0.05294574517471833,0.05389697097618227,-0.0428536581900718,-0.12466963722212439,0.15001477398557433
internet,0.8788914803690384,0.22205129735292228,0.11201535442874685,0.047621854148045255,-0.06733751624762742,-0.09255868106797538,-0.04190490888771231,0.11532014985107694,0.24077597121941688,-0.08613273155118978,-0.04633568585328067,-0.06674778418797292,-0.15794035820032598,-0.10130559023797106,0.19126003165833408,-0.08727724824806521,0.0008089858692523371
gdppercapita,0.8066480229846397,0.3755866847404145,0.1553836736733969,-0.038985050786006246,0.17512954634116584,0.09533035442451092,0.012572028846917747,-0.16685118800384754,-0.1795023643899114,0.17295192982720403,-0.027323700400244,-0.16078073498998172,-0.01922876285081828,0.037086306000604266,0.1207577382818344,0.15517676518361345,0.04272252970487649
CO2,0.5107001971141117,0.6090378897660352,0.033342365149841985,0.14602961309501925,-0.35165173820429496,0.34308715921232796,-0.10353205175406205,0.2043277732427005,-0.11837060451016637,-0.08721278763789402,-0.06497870012738126,-0.03202906730550643,-0.020724065737242947,-0.12412629576181283,-0.14900346780073745,0.015203078191125556,0.054576605955175474
forest,-0.00737163070269356,-0.48069572419468426,0.5290820609052168,0.3098872424783324,0.3147399773269826,0.3701219750180446,0.09888379041313675,0.3280789524624312,0.07764936665429349,0.2189777172854121,-0.02896274147180081,0.01454043320842038,-0.013247065130730816,0.004694067749503949,-0.015812192944731098,-0.00985820793266771,-0.0027186294570692737
urbanpop,0.6608305148012001,0.2321474216815272,-0.2261240684048184,0.32658171899436045,0.2465290493242806,-0.2206171581782279,0.3286412870071042,-0.07883834190506223,0.2740296205178668,-0.01888910998101553,-0.2182104354514895,-0.044635920464885015,0.029261889903470024,0.026101764860198634,-0.1252597401486488,0.04240383228041379,5.476477385514817e-05
urbanpopgrowth,-0.26526471852036065,0.6710189412795073,-0.41313641690836134,-0.18211720564811212,0.40010255577947484,0.14828576822113573,0.04887797731554452,0.05444024765380641,0.04195762540276654,0.16569503218876366,0.11119737273606359,0.2203565890768048,-0.06470700687017021,-0.0928064892150938,0.010805264278101766,0.0136655025922868,-0.03137890791754479
leastdeveloped,-0.506853674328808,0.0858015258619455,0.36626743798486894,-0.42787672000357174,0.12655361446466912,0.46044770567995463,0.16715965186017434,-0.31196022365140674,0.16808250499947724,-0.20429070581359568,-0.08561384954237157,0.00978109680920968,0.04474966615897056,-0.03532229530680116,0.008287881091460536,-0.00919241528972577,0.023054577455380025
